,Unnamed: 0,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Published Date,Maturity Rating,Description,Country,Retail Price,Currency
168,168,45869112,The Bear,Andrew Krivak,"Krivak, Andrew",,1942658702,9781942658702,0,3.9,Bellevue Literary Press,Paperback,224,2020,2021-11-07,2023-12-03,,,read,,,,1,0,2020-01-01,NOT_MATURE,"In an Edenic future, a girl and her father live close to the land in the shadow of a lone mountain. They possess a few remnants of civilization: some books, a pane of glass, a set of flint and steel, a comb. The father teaches the girl how to fish and hunt, the secrets of the seasons and the stars. He is preparing her for an adulthood in harmony with nature, for they are the last of humankind. But when the girl finds herself alone in an unknown landscape, it is a bear that will lead her backhome through a vast wilderness that offers the greatest lessons of all, if she can only learn to listen. A cautionary tale of human fragility, of love and loss,The Bear is a stunning tribute to the beauty of nature's dominion.",US,,
169,169,153747,"Moby-Dick or, The Whale",Herman Melville,"Melville, Herman","Tom Quirk, Andrew Delbanco",0142437247,9780142437247,0,3.56,Penguin Classics,Paperback,720,1851,2021-11-16,2023-12-03,,,read,,,,1,0,2002-12-31,NOT_MATURE,"Herman Melville’s masterpiece of obsession and the untamed sea, one of the greatest works of imagination in literary history—featuring an introduction by Andrew Delbanco and notes by Tom Quirk. This edition features the Northwestern-Newberry edition of Melville's text, approved by the Center for Scholarly Editions and the Center for Editions of American Authors of the MLA. Nominated as one of America’s best-loved novels by PBS’s The Great American Read Moby-Dick still stands as an indisputable literary classic. It is the story of an eerily compelling madman pursuing an unholy war against a creature as vast and dangerous and unknowable as the sea itself. But more than just a novel of adventure, more than an encyclopedia of whaling lore and legend, Moby-Dick is a haunting, mesmerizing, and important social commentary populated with several of the most unforgettable and enduring characters in literature. Written with wonderfully redemptive humor, Moby-Dick is a profound and timeless inquiry into character, faith, and the nature of perception. Penguin Classics is the leading publisher of classic literature in the English-speaking world, representing a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",US,,
170,170,6892870,"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,030726999X,9780307269997,0,4.24,Knopf,Hardcover,566,2007,2021-11-25,2023-12-03,,,read,,,,1,0,2010-01-01,NOT_MATURE,"While recovering in the hospital, Lisbeth Salander enlists the aid of journalist Mikael Blomkvist to prove her innocent of three murders and identify the corrupt politicians who have allowed her to suffer, and, on her own, Lisbeth plots revenge against the man who tried to kill her. By the best-selling author of The Girl Who Played With Fire.",US,,
171,171,13624688,The Time Keeper,Mitch Albom,"Albom, Mitch",,1401322786,9781401322786,0,3.9,Hyperion,Hardcover,224,2012,2021-12-04,2023-12-03,,,read,,,,1,0,2012-09-04,NOT_MATURE,"Given one last chance at redemption, Father Time, the inventor of the world's first clock, must teach two earthly people the true meaning of time – a journey that leads him to a teenage girl who is about to give up on life and a wealthy businessman who wants to live forever. 1.5 million first printing.",US,,
172,172,375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,0812550706,9780812550702,0,4.31,Tor,Mass Market Paperback,324,1985,2021-12-13,2023-12-03,,,read,,,,1,0,1994-07-15,NOT_MATURE,"From New York Times bestselling author Orson Scott Card, Ender's Game—adapted to film in 2013 starring Asa Butterfield and Harrison Ford—is the classic Hugo and Nebula award-winning science fiction novel of a young boy's recruitment into the midst of an interstellar war. In order to develop a secure defense against a hostile alien race's next attack, government agencies breed child geniuses and train them as soldiers. A brilliant young boy, Andrew ""Ender"" Wiggin lives with his kind but distant parents, his sadistic brother Peter, and the person he loves more than anyone else, his sister Valentine. Peter and Valentine were candidates for the soldier-training program but didn't make the cut—young Ender is the Wiggin drafted to the orbiting Battle School for rigorous military training. Ender's skills make him a leader in school and respected in the Battle Room, where children play at mock battles in zero gravity. Yet growing up in an artificial community of young soldiers Ender suffers greatly from isolation, rivalry from his peers, pressure from the adult teachers, and an unsettling fear of the alien invaders. His psychological battles include loneliness, fear that he is becoming like the cruel brother he remembers, and fanning the flames of devotion to his beloved sister. Is Ender the general Earth needs? But Ender is not the only result of the genetic experiments. The war with the Buggers has been raging for a hundred years, and the quest for the perfect general has been underway for almost as long. Ender's two older siblings are every bit as unusual as he is, but in very different ways. Between the three of them lie the abilities to remake a world. If, that is, the world survives. Orson Scott Card's Ender's Game is the winner of the 1985 Nebula Award for Best Novel and the 1986 Hugo Award for Best Novel. THE ENDER UNIVERSE Ender series Ender’s Game / Ender in Exile / Speaker for the Dead / Xenocide / Children of the Mind Ender’s Shadow series Ender’s Shadow / Shadow of the Hegemon / Shadow Puppets / Shadow of the Giant / Shadows in Flight Children of the Fleet The First Formic War (with Aaron Johnston) Earth Unaware / Earth Afire / Earth Awakens The Second Formic War (with Aaron Johnston) The Swarm /The Hive Ender novellas A War of Gifts /First Meetings",US,,
173,173,34002132,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,0,0,0,4.61,Tor Books,Hardcover,1248,2017,2021-12-22,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
174,174,8909,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,0375759239,9780375759239,0,3.83,Random House Publishing Group,Paperback,192,1898,2021-12-31,2023-12-03,,,read,,,,1,0,2002-03-12,NOT_MATURE,"An English astronomer, in company with an artilleryman, a country curate, and others, struggle to survive the invasion of Earth by Martians in 1894.",US,,
175,175,26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,"Cline, Ernest",,1524761338,9781524761332,0,3.44,Ballantine Books,Hardcover,370,2020,2020-01-06,2023-12-03,,,read,,,,1,0,2020-11-24,NOT_MATURE,"#1 NEW YORK TIMES BESTSELLER • The thrilling sequel to the beloved worldwide bestseller Ready Player One, the near-future adventure that inspired the blockbuster Steven Spielberg film. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY THE WASHINGTON POST • “The game is on again. . . . A great mix of exciting fantasy and threatening fact.”—The Wall Street Journal AN UNEXPECTED QUEST. TWO WORLDS AT STAKE. ARE YOU READY? Days after winning OASIS founder James Halliday’s contest, Wade Watts makes a discovery that changes everything. Hidden within Halliday’s vaults, waiting for his heir to find, lies a technological advancement that will once again change the world and make the OASIS a thousand times more wondrous—and addictive—than even Wade dreamed possible. With it comes a new riddle, and a new quest—a last Easter egg from Halliday, hinting at a mysterious prize. And an unexpected, impossibly powerful, and dangerous new rival awaits, one who’ll kill millions to get what he wants. Wade’s life and the future of the OASIS are again at stake, but this time the fate of humanity also hangs in the balance. Lovingly nostalgic and wildly original as only Ernest Cline could conceive it, Ready Player Two takes us on another imaginative, fun, action-packed adventure through his beloved virtual universe, and jolts us thrillingly into the future once again.",US,,
176,176,17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765326361,9780765326362,0,4.76,Tor Books,Hardcover,1088,2014,2020-01-12,2023-12-03,,,read,,,,1,0,2014-03-04,NOT_MATURE,"""The war with the Parshendi moves into a new, dangerous phase, as Dalinar leads the human armies deep into the heart of the Shattered Plains. Meanwhile Shallan searches for the legendary city of Urithuru, and Kaladin, leader of the restored Knights Radiant, masters the powers of a Windrunner.""--Publisher's description.",US,,
177,177,7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,0765326353,9780765326355,0,4.66,Tor Books,Hardcover,1007,2010,2020-01-18,2023-12-03,,,read,,,,1,0,2010-08-31,NOT_MATURE,"From #1 New York Times bestselling author Brandon Sanderson, The Way of Kings, Book One of the Stormlight Archive begins an incredible new saga of epic proportion. Roshar is a world of stone and storms. Uncanny tempests of incredible power sweep across the rocky terrain so frequently that they have shaped ecology and civilization alike. Animals hide in shells, trees pull in branches, and grass retracts into the soilless ground. Cities are built only where the topography offers shelter. It has been centuries since the fall of the ten consecrated orders known as the Knights Radiant, but their Shardblades and Shardplate remain: mystical swords and suits of armor that transform ordinary men into near-invincible warriors. Men trade kingdoms for Shardblades. Wars were fought for them, and won by them. One such war rages on a ruined landscape called the Shattered Plains. There, Kaladin, who traded his medical apprenticeship for a spear to protect his little brother, has been reduced to slavery. In a war that makes no sense, where ten armies fight separately against a single foe, he struggles to save his men and to fathom the leaders who consider them expendable. Brightlord Dalinar Kholin commands one of those other armies. Like his brother, the late king, he is fascinated by an ancient text called The Way of Kings. Troubled by over-powering visions of ancient times and the Knights Radiant, he has begun to doubt his own sanity. Across the ocean, an untried young woman named Shallan seeks to train under an eminent scholar and notorious heretic, Dalinar's niece, Jasnah. Though she genuinely loves learning, Shallan's motives are less than pure. As she plans a daring theft, her research for Jasnah hints at secrets of the Knights Radiant and the true cause of the war. The result of over ten years of planning, writing, and world-building, The Way of Kings is but the opening movement of the Stormlight Archive, a bold masterpiece in the making. Speak again the ancient oaths: Life before death. Strength before weakness. Journey before Destination. and return to men the Shards they once bore. The Knights Radiant must stand again. Other Tor books by Brandon Sanderson The Cosmere The Stormlight Archive The Way of Kings Words of Radiance Edgedancer (Novella) Oathbringer (forthcoming) The Mistborn trilogy Mistborn: The Final Empire The Well of Ascension The Hero of Ages Mistborn: The Wax and Wayne series Alloy of Law Shadows of Self Bands of Mourning Collection Arcanum Unbounded Other Cosmere novels Elantris Warbreaker The Alcatraz vs. the Evil Librarians series Alcatraz vs. the Evil Librarians The Scrivener's Bones The Knights of Crystallia The Shattered Lens The Dark Talent The Rithmatist series The Rithmatist Other books by Brandon Sanderson The Reckoners Steelheart Firefight Calamity",US,,
178,178,9590632,Leche,R. Zamora Linmark,"Linmark, R. Zamora",,1566892546,9781566892544,0,3.7,Coffee House Press,Paperback,361,2011,2020-01-24,2023-12-03,,,read,,,,1,0,2011-01-01,NOT_MATURE,A young Filipino American's riotous adventures through the sprawling tragicomic landscape of modern-day Manila.,US,,
179,179,873809,Chapterhouse Dune (Dune #6),Frank Herbert,"Herbert, Frank",,0450058867,9780450058868,0,3.86,New English Library,Mass Market Paperback,476,1985,2020-01-30,2023-12-03,,,read,,,,1,0,1985-01-01,NOT_MATURE,"A beautiful new hardcover package for the ""exciting and gripping"" (""Kirkus Reviews"") ""New York Times"" bestselling science fiction classic. The desert planet Arrakis, called Dune, has been destroyed. The remnants of the Old Empire have been consumed by the violent matriarchal cult known as the Honored Matres. Only one faction remains a viable threat to their total conquest-the Bene Gesserit, heirs to Dune's power. Under the leadership of Mother Superior Darwi Odrade, the Bene Gesserit have colonized a green world on the planet Chapterhouse, and are turning it into a desert, mile by scorched mile. And once they've mastered breeding sandworms, the Sisterhood will control the production of the greatest commodity in the known galaxy-the spice Melange. But their true weapon remains a man who has lived countless lifetimes-a man who served under the God Emperor Paul Muad'Dib.",US,,
180,180,44492287,Heretics of Dune (Dune #5),Frank Herbert,"Herbert, Frank",,0593098269,9780593098264,0,3.85,Ace,Paperback,669,1984,2020-02-05,2023-12-03,,,read,,,,1,0,2019-06-04,NOT_MATURE,"Book Five in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All Time Leto Atreides, the God Emperor of Dune, is dead. In the fifteen hundred years since his passing, the Empire has fallen into ruin. The great Scattering saw millions abandon the crumbling civilization and spread out beyond the reaches of known space. The planet Arrakis—now called Rakis—has reverted to its desert climate, and its great sandworms are dying. Now the Lost Ones are returning home in pursuit of power. And as these factions vie for control over the remnants of the Empire, a girl named Sheeana rises to prominence in the wastelands of Rakis, sending religious fervor throughout the galaxy. For she possesses the abilities of the Fremen sandriders—fulfilling a prophecy foretold by the late God Emperor....",US,,
181,181,40293,Pastwatch: The Redemption of Christopher Columbus,Orson Scott Card,"Card, Orson Scott",,0812508645,9780812508642,0,3.97,Tor,Mass Market Paperback,402,1996,2020-02-11,2023-12-03,,,read,,,,1,0,1997-02-15,NOT_MATURE,"In one of the most powerful and thought-provoking novels of his remarkable career, Orson Scott Card interweaves a compelling portrait of Christopher Columbus with the story of a future scientist who believes she can alter human history from a tragedy of bloodshed and brutality to a world filled with hope and healing.",US,,
182,182,76658,"On a Pale Horse (Incarnations of Immortality, #1)",Piers Anthony,"Anthony, Piers",,0345338588,9780345338587,0,4.13,Del Rey,Paperback,325,1983,2020-02-17,2023-12-03,,,read,,,,1,0,1986-09-12,NOT_MATURE,"In this first novel of the Incarnations of Immortality, Piers Anthony combines a gripping story of romance and conflicting loyalties with a deeply moving examination of the meaning of life and death. This is a novel that will long linger in the reader's mind. Shooting Death was a mistake, as Zane soon discovered. For the man who killed the Incarnation of Death was immediately forced to assume the vacant position! Thereafter, he must speed over the world, riding his pale horse, and ending the lives of others. Zane was forced to accept his unwelcome task, despite the rules that seemed woefully unfair. But then he found himself being drawn into an evil plot of Satan. Already the prince of Evil was forging a trap in which Zane must act to destroy Luna, the woman he loved. He could see only one possible way to defeat the Father of Lies. It was unthinkable—but he had no other solution!",US,,
183,183,29100194,Against Empathy: The Case for Rational Compassion,Paul Bloom,"Bloom, Paul",,0062339338,9780062339331,0,3.58,Ecco,Hardcover,285,2016,2020-02-22,2023-12-03,,,read,,,,1,0,2016-12-06,NOT_MATURE,"New York Post Best Book of 2016 We often think of our capacity to experience the suffering of others as the ultimate source of goodness. Many of our wisest policy-makers, activists, scientists, and philosophers agree that the only problem with empathy is that we don’t have enough of it. Nothing could be farther from the truth, argues Yale researcher Paul Bloom. In AGAINST EMPATHY, Bloom reveals empathy to be one of the leading motivators of inequality and immorality in society. Far from helping us to improve the lives of others, empathy is a capricious and irrational emotion that appeals to our narrow prejudices. It muddles our judgment and, ironically, often leads to cruelty. We are at our best when we are smart enough not to rely on it, but to draw instead upon a more distanced compassion. Basing his argument on groundbreaking scientific findings, Bloom makes the case that some of the worst decisions made by individuals and nations—who to give money to, when to go to war, how to respond to climate change, and who to imprison—are too often motivated by honest, yet misplaced, emotions. With precision and wit, he demonstrates how empathy distorts our judgment in every aspect of our lives, from philanthropy and charity to the justice system; from medical care and education to parenting and marriage. Without empathy, Bloom insists, our decisions would be clearer, fairer, and—yes—ultimately more moral. Brilliantly argued, urgent and humane, AGAINST EMPATHY shows us that, when it comes to both major policy decisions and the choices we make in our everyday lives, limiting our impulse toward empathy is often the most compassionate choice we can make.",US,,
184,184,849380,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman,"Gottman, John M.",Nan Silver,0609805797,9780609805794,0,4.26,Harmony,Paperback,271,1999,2020-02-28,2023-12-03,,,read,,,,1,0,1999-01-01,NOT_MATURE,"John Gottman has revolutionized the study of marriage by using rigorous scientific procedures to observe the habits of married couples in unprecedented detail over many years. Here is the culmination of his life's work: the seven principles that guide couples on the path toward a harmonious and long-lasting relationship. Packed with practical questionnaires and exercises, The Seven Principles for Making Marriage Work is the definitive guide for anyone who wants their relationship to attain its highest potential.",US,,
185,185,26152839,"The Fork, the Witch, and the Worm: Eragon (Tales from Alagaësia #1; The Inheritance Cycle World)",Christopher Paolini,"Paolini, Christopher",,1984894889,9781984894885,0,3.81,Knopf Books for Young Readers,ebook,288,2018,2020-03-05,2023-12-03,,,read,,,,1,0,2018-12-31,NOT_MATURE,"Don’t miss the eagerly anticipated epic new fantasy from Christopher Paolini—Murtagh! Relish the incomparable imagination of Christopher Paolini in this thrilling collection of stories based in the world of Eragon and the internationally bestselling Inheritance Cycle. ""Christopher Paolini is a true rarity."" —The Washington Post A wanderer and a cursed child. Spells and magic. And dragons, of course. Welcome back to the world of Alagaësia. It's been a year since Eragon departed Alagaësia in search of the perfect home to train a new generation of Dragon Riders. When a vision from the Eldunarí, unexpected visitors, and an exciting Urgal legend surface, Eragon is faced with a much-needed distraction that may lead to a new perspective. This volume features three original stories set in Alagaësia, interspersed with scenes from Eragon's own unfolding adventure. Included is an excerpt from the memoir of the unforgettable witch and fortune-teller Angela the herbalist . . . penned by Angela Paolini, the inspiration for the character, herself! Also includes four new pieces of original art by the author!",US,9.99,USD
186,186,44439415,God Emperor of Dune (Dune #4),Frank Herbert,"Herbert, Frank",,0593098250,9780593098257,0,3.88,Ace,Paperback,587,1981,2020-03-11,2023-12-03,,,read,,,,1,0,2019-06-04,NOT_MATURE,"Book Four in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All Time Millennia have passed on Arrakis, and the once-desert planet is green with life. Leto Atreides, the son of the world’s savior, the Emperor Paul Muad’Dib, is still alive but far from human. To preserve humanity’s future, he sacrificed his own by merging with a sandworm, granting him near immortality as God Emperor of Dune for the past thirty-five hundred years. Leto’s rule is not a benevolent one. His transformation has made not only his appearance but his morality inhuman. A rebellion, led by Siona, a member of the Atreides family, has risen to oppose the despot’s rule. But Siona is unaware that Leto’s vision of a Golden Path for humanity requires her to fulfill a destiny she never wanted—or could possibly conceive....",US,,
187,187,10239382,The Ritual,Adam L.G. Nevill,"Nevill, Adam L.G.",,0230754929,9780230754928,0,3.56,Pan Publishing,Paperback,418,2011,2020-03-17,2023-12-03,,,read,,,,1,0,2011-01-01,NOT_MATURE,"When four old university friends set off into the Scandinavian wilderness of the Arctic Circle, they aim to briefly escape the problems of their lives and reconnect with one another. But when Luke, the only man still single and living a precarious existence, finds he has little left in common with his friends, tensions rise.",US,,
188,188,44492286,Children of Dune (Dune #3),Frank Herbert,"Herbert, Frank",,0593098242,9780593098240,0,3.95,Ace,Paperback,609,1976,2020-03-23,2023-12-03,,,read,,,,1,0,2019-06-04,NOT_MATURE,"Book Three in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All Time The Children of Dune are twin siblings Leto and Ghanima Atreides, whose father, the Emperor Paul Muad’Dib, disappeared in the desert wastelands of Arrakis nine years ago. Like their father, the twins possess supernormal abilities—making them valuable to their manipulative aunt Alia, who rules the Empire in the name of House Atreides. Facing treason and rebellion on two fronts, Alia’s rule is not absolute. The displaced House Corrino is plotting to regain the throne while the fanatical Fremen are being provoked into open revolt by the enigmatic figure known only as The Preacher. Alia believes that by obtaining the secrets of the twins’ prophetic visions, she can maintain control over her dynasty. But Leto and Ghanima have their own plans for their visions—and their destinies....",US,,
189,189,44492285,Dune Messiah (Dune #2),Frank Herbert,"Herbert, Frank",Brian Herbert,0593098234,9780593098233,0,3.89,Ace,Mass Market Paperback,336,1969,2020-03-29,2023-12-03,,,read,,,,1,0,2019-06-04,NOT_MATURE,"Book Two in the Magnificent Dune Chronicles—the Bestselling Science Fiction Adventure of All Time Dune Messiah continues the story of Paul Atreides, better known—and feared—as the man christened Muad’Dib. As Emperor of the known universe, he possesses more power than a single man was ever meant to wield. Worshipped as a religious icon by the fanatical Fremen, Paul faces the enmity of the political houses he displaced when he assumed the throne—and a conspiracy conducted within his own sphere of influence. And even as House Atreides begins to crumble around him from the machinations of his enemies, the true threat to Paul comes to his lover, Chani, and the unborn heir to his family’s dynasty...",US,,
190,190,52382796,"Shōgun (Asian Saga, #1)",James Clavell,"Clavell, James",,1982603844,9781982603847,0,4.41,Blackstone Publishing,Paperback,1152,1975,2020-04-04,2023-12-03,,,read,,,,1,0,2019-08-13,NOT_MATURE,"""Here is the world-famous novel of Japan that is the earliest book in James Clavell's masterly Asian saga. Set in the year 1600, it tells the story of a bold English pilot whose ship was blown ashore in Japan, where he encountered two people who were to change his life: a warlord with his own quest for power, and a beautiful interpreter torn between two ways of life and two ways of love""--Provided by publisher.",US,,
191,191,44767458,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,059309932X,9780593099322,0,4.29,Ace,Hardcover,658,1965,2020-04-10,2023-12-03,,,read,,,,1,0,2019-10-01,NOT_MATURE,"Frank Herbert’s epic masterpiece—a triumph of the imagination and one of the bestselling science fiction novels of all time. This deluxe hardcover edition of Dune includes: · An iconic new cover · A stamped and foiled case featuring a quote from the Litany Against Fear · Stained edges and fully illustrated endpapers · A beautifully designed poster on the interior of the jacket · A redesigned world map of Dune · An updated Introduction by Brian Herbert Set on the desert planet Arrakis, Dune is the story of Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the “spice” melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for... When House Atreides is betrayed, the destruction of Paul’s family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad’Dib, he will bring to fruition humankind’s most ancient and unattainable dream. A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction. • DUNE: PART TWO • THE MAJOR MOTION PICTURE Directed by Denis Villeneuve, screenplay by Denis Villeneuve and Jon Spaihts, based on the novel Dune by Frank Herbert • Starring Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Stephen McKinley Henderson, Léa Seydoux, with Stellan Skarsgård, with Charlotte Rampling, and Javier Bardem",US,,
192,192,8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,0307352145,9780307352149,0,4.08,Crown Publishers,Hardcover,333,2012,2020-04-15,2023-12-03,,,read,,,,1,0,2012-01-24,NOT_MATURE,"#1 NEW YORK TIMES BESTSELLER • Experience the book that started the Quiet Movement and revolutionized how the world sees introverts—and how introverts see themselves—by offering validation, inclusion, and inspiration “Superbly researched, deeply insightful, and a fascinating read, Quiet is an indispensable resource for anyone who wants to understand the gifts of the introverted half of the population.”—Gretchen Rubin, author of The Happiness Project ONE OF THE BEST BOOKS OF THE YEAR—People, O: The Oprah Magazine, Christian Science Monitor, Inc., Library Journal, Kirkus Reviews What are the advantages of being an introvert? They make up at least one-third of the people we know. They are the ones who prefer listening to speaking; who innovate and create but dislike self-promotion; who favor working on their own over working in teams. It is to introverts—Rosa Parks, Chopin, Dr. Seuss, Steve Wozniak—that we owe many of the great contributions to society. In Quiet, Susan Cain argues that we dramatically undervalue introverts and shows how much we lose in doing so. She charts the rise of the Extrovert Ideal throughout the twentieth century and explores how deeply it has come to permeate our culture. She also introduces us to successful introverts—from a witty, high-octane public speaker who recharges in solitude after his talks, to a record-breaking salesman who quietly taps into the power of questions. Passionately argued, impeccably researched, and filled with indelible stories of real people, Quiet has the power to permanently change how you see yourself.",US,,
193,193,7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Joseph Frank, David McDuff",0,0,0,4.29,Penguin,Paperback,671,1866,2020-04-21,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
194,194,7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,0375856110,9780375856112,0,4.17,Alfred A. Knopf,Hardcover,849,2011,2020-04-27,2023-12-03,,,read,,,,1,0,2011-11-08,NOT_MATURE,"Don’t miss the eagerly anticipated epic new fantasy from Christopher Paolini—Murtagh! The astonishing, masterful conclusion to the Inheritance Cycle, perfect for fans of Lord of the Rings! The New York Times bestselling series has sold over 40 million copies and is an international fantasy sensation. ""Christopher Paolini is a true rarity."" —The Washington Post Not so very long ago, Eragon—Shadeslayer, Dragon Rider—was nothing more than a poor farm boy, and his dragon, Saphira, only a blue stone in the forest. Now the fate of an entire civilization rests on their shoulders. Long months of training and battle have brought victories and hope, but they have also brought heartbreaking loss. And still, the real battle lies ahead: they must defeat Galbatorix. There will be no second chances. The Rider and his dragon have come further than anyone dared to hope. But can they topple the evil king and restore justice to Alagaësia? And if so, at what cost?",US,,
